Taxpayer_Number,Taxpayer_Name,Taxpayer_Address,Taxpayer_City,Taxpayer_State,Taxpayer_Zip,Taxpayer_County,Location_Number,Location_Name,Location_Address,Location_City,Location_State,Location_Zip,Location_County,TABC_Permit_Number,Inside/Outside_City_Limits,Responsibility_Begin_Date,Responsibility_End_Date,Obligation_End_Date,Liquor_Receipts,Wine_Receipts,Beer_Receipts,Cover_Charge_Receipts,Total_Receipts
17429758075,RUM RUNNER PRESS INC.,300 COUNTY ROAD 139,HUTTO,TX,78634,246,3,RUM CENTRAL,13100 N US HIGHWAY 183,FLORENCE,TX,76527,246,D 947566,N,11/20/2017,,12/31/2017,$0,$0,$0,$0,$0
32053445196,"BUBBA HOPE GP, LLC",13492 N HIGHWAY 183 STE 120,AUSTIN,TX,78750,246,1,"BUBBA HOPE GP, LLC",1501 E NEW HOPE DR,CEDAR PARK,TX,78613,246,MB871268,Y,05/05/2014,,12/31/2017,$4304,$800,$4544,$0,$9648
32057937412,"HOPDODDY ROUND ROCK, LLC",2800 N HWY 35,ROUND ROCK,TX,78681,57,1,HOPDODDY BURGER BAR,2800 N INTERSTATE 35 STE 100,ROUND ROCK,TX,78681,246,MB925205,Y,10/28/2015,,12/31/2017,$19265,$1542,$21956,$0,$42763
32063163458,"BELUGA SOCIAL CLUB, INC.",661 LOUIS HENNA BLVD STE 300,ROUND ROCK,TX,78664,246,1,"BELUGA SOCIAL CLUB, INC.",661 LOUIS HENNA BLVD STE 300,ROUND ROCK,TX,78664,246,N 985642,Y,06/15/2017,,12/31/2017,$3410,$4055,$1936,$0,$9401
30009837151,"CHASE OFFSHORE CORPORATION, LTD.",230 STARBOARD AVE,ROCKPORT,TX,78382,4,1,WILD WEST,401 E WHITESTONE BLVD STE B100,CEDAR PARK,TX,78613,246,MB797214,Y,02/07/2012,,12/31/2017,$57051,$606,$54793,$0,$112450
17429781895,"MARGARITAS CANTINA, LTD.",1530 N INTERSTATE 35,ROUND ROCK,TX,78681,246,1,LA MARGARITA,1530 N INTERSTATE 35,ROUND ROCK,TX,78681,246,MB403317,Y,09/01/2001,,12/31/2017,$35217,$526,$10598,$0,$46341
14609955944,OLD COUPLAND DANCEHALL PRIVATE CLUB,PO BOX 115,COUPLAND,TX,78615,246,1,OLD COUPLAND DANCEHALL PRIVATE CLUB,101 HOXIE,COUPLAND,TX,78615,246,N 823838,Y,11/02/2012,,12/31/2017,$7000,$560,$7200,$0,$14760
32052008979,"CECILIA PADILLA, LLC",4912 WOODSTOCK DR,GEORGETOWN,TX,78633,246,1,PUTTERS CAFE,150 DOVE HOLLOW TRL,GEORGETOWN,TX,78633,246,MB862852,Y,01/31/2014,,12/31/2017,$69,$192,$119,$0,$380
32056119483,Y'ALL DOWN HOME CAFE LLC,2000 S INTERSTATE 35 STE G1,ROUND ROCK,TX,78681,246,1,Y'ALL DOWN HOME CAFE,2000 S INTERSTATE 35 STE G1,ROUND ROCK,TX,78681,246,MB994454,Y,09/18/2017,,12/31/2017,$4957,$0,$0,$0,$4957
16113347757,"LONE ROCK BAR, INC.",PO BOX 21950,OWENSBORO,KY,42304,0,2,LONE ROCK BAR,2700 HOPPE TRL,ROUND ROCK,TX,78681,246,MB443147,Y,12/30/1998,,12/31/2017,$0,$0,$2786,$0,$2786
32058113724,TUSK GRILL LLC,PO BOX 82653,AUSTIN,TX,78708,246,1,TUSK GRILL,1318 ROUND ROCK AVE,ROUND ROCK,TX,78681,246,MB924015,Y,10/19/2015,,12/31/2017,$0,$0,$0,$0,$0
